patient_id,first_name,last_name,gender,date_of_birth,ssn,address,city,state,postal_code,phone_number,email,blood_type,height,weight,bmi,temperature,heart_rate,blood_pressure,cholesterol,glucose,allergies,medications,diagnosis,family_history,last_visit_date,insurance_provider,insurance_policy_number,primary_care_physician,emergency_contact_name,emergency_contact_phone,emergency_contact_relationship,smoking_status,alcohol_consumption
11,Jerri,Klimkin,Male,6/9/1981,778-54-0910,4585 Hazelcrest Parkway,Daxin,,,192-311-0585,jklimkina@squidoo.com,AB-,80.17,455.1,708.081207439181137613,36.85,156,85,168,222,Pet dander,Ibuprofen,Asthma,Heart disease,2/10/2021,Aetna,4215849684,Jerri Klimkin,Jerri Klimkin,429-152-1842,Spouse,false,true
12,Elsa,Woofenden,Female,7/28/1985,182-60-6744,0 Nobel Terrace,Guidong Chengguanzhen,,,651-740-6721,ewoofendenb@themeforest.net,B-,76.68,90.19,153.388986714972887616,35.48,58,198,291,259,Dust,Ibuprofen,Asthma,Heart disease,11/19/2020,Aetna,6731405283,Elsa Woofenden,Elsa Woofenden,540-248-1205,Parent,true,true
13,Laurel,Norcliff,Female,1/24/1959,344-92-8504,30228 Donald Road,Alagoinhas,,48000-000,904-654-9950,lnorcliffc@bloglines.com,AB-,67.36,303.37,668.603236553619083621,38.44,113,138,111,173,Food,Aspirin,Hypertension,Alzheimer's,11/30/2021,Cigna,5217041558,Laurel Norcliff,Laurel Norcliff,112-414-1749,Spouse,false,true
14,Obadiah,Overel,Male,2/22/2006,601-30-5636,63818 Maywood Junction,Fulnek,,742 45,438-417-7008,oovereld@jigsy.com,AB+,68.85,287.77,607.068400936856089433,41.36,62,95,277,194,Pet dander,Ibuprofen,Asthma,Alzheimer's,2/19/2021,Blue Cross Blue Shield,5170503736,Obadiah Overel,Obadiah Overel,686-982-2643,Spouse,true,false
15,Saunders,Enriquez,Male,1/27/2011,451-66-0890,5 Union Way,Cangyou,,,686-218-3422,senriqueze@myspace.com,O-,77.84,373.1,615.77151434042899288,38.63,182,189,216,162,Pet dander,Paracetamol,Asthma,Cancer,2/13/2020,Cigna,8958411656,Saunders Enriquez,Saunders Enriquez,762-214-8890,Spouse,true,false
16,Jennette,Prisley,Agender,5/17/1978,674-61-4839,7 Melrose Place,Unisław,,86-260,791-499-8986,jprisleyf@state.gov,O+,74.59,265.85,477.832241646477797624,36.01,68,120,131,97,Dust,Paracetamol,Asthma,Alzheimer's,9/24/2020,Cigna,3242400259,Jennette Prisley,Jennette Prisley,447-525-0440,Sibling,true,false
17,Hugo,Junkin,Male,8/23/1967,551-08-5960,9 Elmside Park,Dolní Bojanovice,,696 17,336-679-3257,hjunking@wikipedia.org,AB-,81.24,99.61,150.925669357843625673,40.12,114,123,205,116,Food,Aspirin,Asthma,Cancer,7/30/2020,Blue Cross Blue Shield,8368085477,Hugo Junkin,Hugo Junkin,710-529-1894,Parent,false,true
18,Othilie,McNickle,Female,11/11/1965,866-39-3194,302 Sloan Parkway,Znamenka,,393400,683-609-0916,omcnickleh@g.co,A+,65.72,55.32,128.081693708604978275,38.5,41,165,254,120,Pollen,Aspirin,Diabetes,Heart disease,1/1/2021,Cigna,5354566141,Othilie McNickle,Othilie McNickle,653-551-3334,Sibling,false,false
19,Minni,Brandassi,Female,3/17/1973,411-77-5898,2185 Hazelcrest Center,Jincheng,,,735-714-8305,mbrandassii@google.fr,AB-,81.5,389.52,586.427791787421430991,38.25,190,117,270,108,Food,Paracetamol,Hypertension,Alzheimer's,2/18/2020,Blue Cross Blue Shield,2325136326,Minni Brandassi,Minni Brandassi,715-564-9845,Parent,true,false
20,Simone,Denisevich,Female,6/28/1983,362-10-2122,82096 Marquette Alley,Nova Granada,,15440-000,877-350-4540,sdenisevichj@mtv.com,A+,74.59,171.53,308.303796914125772528,39.06,199,72,215,276,Dust,Paracetamol,Diabetes,Cancer,3/13/2021,Cigna,1102260916,Simone Denisevich,Simone Denisevich,690-825-8913,Spouse,false,false
21,Jorrie,Ansett,Female,6/22/1978,723-03-7093,63864 Bobwhite Court,Pasir,,,132-502-4978,jansettk@google.ca,O+,79.46,195.4,309.476329938892203978,41.6,133,97,283,150,Dust,Ibuprofen,Diabetes,Heart disease,9/11/2020,Aetna,3970897318,Jorrie Ansett,Jorrie Ansett,425-841-0238,Spouse,true,true
22,Bartlett,Bark,Male,4/3/2005,685-53-4032,9 Lawn Way,Gualaceo,,,723-782-6154,bbarkl@quantcast.com,B-,58.0,490.09,1456.866825208085612366,38.84,149,61,132,298,Pollen,Paracetamol,Diabetes,Cancer,7/2/2021,Blue Cross Blue Shield,6632070960,Bartlett Bark,Bartlett Bark,854-808-0536,Spouse,true,false
23,Milicent,Matus,Female,1/14/1967,698-27-6199,09 Hoffman Drive,Hägersten,Stockholm,129 07,689-670-6918,mmatusm@360.cn,O+,80.55,268.41,413.682931706713735989,36.5,182,170,209,94,Food,Paracetamol,Diabetes,Cancer,1/15/2021,Cigna,8322667521,Milicent Matus,Milicent Matus,112-422-0769,Sibling,false,false
24,Lief,Skoughman,Male,9/20/1976,885-85-9160,567 3rd Point,Obonoma,,,372-641-1257,lskoughmann@shutterfly.com,AB+,72.06,229.43,441.836601302658245214,37.87,83,90,288,201,Pollen,Aspirin,Hypertension,Alzheimer's,10/3/2021,Cigna,7438283468,Lief Skoughman,Lief Skoughman,297-518-5590,Sibling,false,true
25,Arlyne,Fenelow,Female,11/14/1979,731-12-0618,82 Rockefeller Way,Caticugan,,6219,522-115-9082,afenelowo@cafepress.com,AB+,61.59,259.09,683.015002050574006504,40.35,192,155,151,215,Pet dander,Paracetamol,Asthma,Heart disease,4/14/2021,Aetna,8724090019,Arlyne Fenelow,Arlyne Fenelow,779-601-7043,Spouse,true,true
26,Enrica,Sydry,Female,12/12/1975,839-13-8895,56922 Vermont Crossing,Al Bahlūlīyah,,,743-927-4058,esydryp@addthis.com,A+,78.93,424.09,680.728331963257010507,41.79,65,71,187,211,Dust,Aspirin,Diabetes,Alzheimer's,1/10/2020,Aetna,9398876746,Enrica Sydry,Enrica Sydry,754-104-8072,Sibling,false,true
27,Kristofor,Chotty,Male,1/5/1951,707-38-9285,04 Claremont Drive,Zhenghu,,,911-182-6788,kchottyq@blog.com,A-,64.9,186.83,443.564948801166189064,39.92,58,146,282,256,Dust,Ibuprofen,Asthma,Cancer,12/27/2020,Blue Cross Blue Shield,7405087666,Kristofor Chotty,Kristofor Chotty,451-646-6254,Parent,true,false
28,Verla,Barfield,Female,1/12/1961,629-44-2565,505 Caliangt Alley,Carmen,,9408,180-380-8973,vbarfieldr@chronoengine.com,AB-,88.73,221.04,280.756557632466218873,39.44,64,197,273,262,Pollen,Aspirin,Diabetes,Cancer,3/31/2021,Blue Cross Blue Shield,8904596011,Verla Barfield,Verla Barfield,315-243-4517,Sibling,false,true
29,Allina,Folcarelli,Female,7/9/1968,483-18-3960,46362 Haas Street,Huangbu,,,793-306-6685,afolcarellis@sciencedaily.com,AB-,60.04,255.68,709.276205381178259575,39.73,68,172,249,196,Pollen,Paracetamol,Hypertension,Heart disease,6/17/2021,Blue Cross Blue Shield,3701711669,Allina Folcarelli,Allina Folcarelli,748-956-8334,Parent,true,false
30,Emilia,Gregoire,Genderfluid,9/14/2003,764-49-9295,1 Old Gate Terrace,Nawal,,,254-278-5160,egregoiret@hhs.gov,A+,60.07,312.16,865.091387055815160876,41.29,192,69,294,126,Pollen,Ibuprofen,Asthma,Alzheimer's,3/28/2020,Cigna,9540379424,Emilia Gregoire,Emilia Gregoire,292-529-8192,Sibling,true,true
31,Tibold,Ferentz,Male,3/14/1967,674-67-5678,6388 Corscot Street,Port Moody,British Columbia,V3H,538-979-0759,tferentzu@wufoo.com,B+,68.47,293.09,625.173189653920171213,36.98,101,82,220,168,Pet dander,Paracetamol,Asthma,Alzheimer's,3/23/2020,Cigna,7525534298,Tibold Ferentz,Tibold Ferentz,151-888-0240,Parent,false,false
32,Bonny,Straniero,Female,9/23/1954,786-08-4683,976 Weeping Birch Alley,Azilal,,,507-367-3585,bstranierov@xrea.com,O-,82.71,310.55,453.957809712258867895,38.33,138,84,252,259,Dust,Ibuprofen,Hypertension,Alzheimer's,12/16/2020,Cigna,3586443898,Bonny Straniero,Bonny Straniero,373-980-2538,Parent,true,false
33,Abel,Lathbury,Male,3/12/2010,387-05-8192,04 Armistice Point,Ning’er,,,883-849-0316,alathburyw@gravatar.com,AB+,83.41,441.51,634.606187484351706105,35.17,114,171,226,267,Dust,Paracetamol,Hypertension,Alzheimer's,5/12/2020,Aetna,8779496238,Abel Lathbury,Abel Lathbury,669-667-0433,Parent,true,false
34,Zea,Hamal,Female,6/10/2000,419-44-0776,9345 Vera Circle,Tamandaré,,55578-000,517-297-2527,zhamalx@amazon.com,O-,53.83,373.97,1290.589135287333897948,35.92,179,123,146,199,Dust,Aspirin,Asthma,Alzheimer's,12/7/2020,Blue Cross Blue Shield,5208859742,Zea Hamal,Zea Hamal,912-355-4544,Spouse,true,false
35,Marcia,Rushbrooke,Female,3/24/2018,886-90-6991,26 Moland Junction,Curiapo,,,485-384-3347,mrushbrookey@jiathis.com,A-,64.48,469.93,1130.272375607263144284,38.63,78,175,107,278,Food,Aspirin,Hypertension,Alzheimer's,3/13/2020,Aetna,7806853448,Marcia Rushbrooke,Marcia Rushbrooke,917-965-2296,Spouse,true,false
36,Inna,Axelby,Female,12/13/1991,610-29-6772,409 Mallory Crossing,Bihać,,,161-808-5658,iaxelbyz@posterous.com,A+,55.98,373.97,1193.358624354306091812,36.19,191,179,109,275,Food,Paracetamol,Hypertension,Cancer,2/26/2021,Blue Cross Blue Shield,4457319919,Inna Axelby,Inna Axelby,929-519-7335,Parent,false,true
37,Devon,Saundercock,Female,6/28/2011,403-37-4185,9982 Forest Run Crossing,Bañga,,5201,449-498-5223,dsaundercock10@independent.co.uk,AB+,72.88,294.12,553.742464644225173239,39.85,84,91,274,217,Food,Ibuprofen,Hypertension,Heart disease,5/20/2020,Cigna,9204411572,Devon Saundercock,Devon Saundercock,840-610-4684,Parent,true,true
38,Stanislaw,Dossett,Male,8/21/2009,355-96-8286,63 Monica Road,Quebradas,,,687-509-7709,sdossett11@nationalgeographic.com,B+,60.13,318.78,881.67526819558786773,35.24,162,151,270,258,Pollen,Aspirin,Diabetes,Heart disease,2/6/2020,Cigna,6804293438,Stanislaw Dossett,Stanislaw Dossett,648-687-0812,Parent,true,true
39,Miranda,Garioch,Female,4/10/1969,299-98-4305,5 Corry Avenue,Lazarat,,,159-549-4003,mgarioch12@icq.com,A+,85.9,496.77,673.238638750692862399,35.81,131,135,290,173,Dust,Paracetamol,Hypertension,Heart disease,11/1/2021,Blue Cross Blue Shield,6102444372,Miranda Garioch,Miranda Garioch,183-343-1501,Parent,true,false
40,Matthias,Spens,Male,2/28/1969,678-74-0075,74375 1st Park,Bailadores,,,385-240-1766,mspens13@vkontakte.ru,A+,74.5,372.24,670.672492230079726138,40.69,94,117,168,85,Pet dander,Aspirin,Hypertension,Alzheimer's,2/1/2020,Cigna,5112255923,Matthias Spens,Matthias Spens,117-375-0770,Spouse,false,false
41,Herby,Healy,Male,12/7/2019,728-95-3527,0115 Dwight Drive,Łopuszno,,26-070,474-861-3444,hhealy14@bloglovin.com,A+,82.08,111.85,166.020337691749408175,36.83,169,94,253,141,Pet dander,Ibuprofen,Asthma,Alzheimer's,10/30/2021,Aetna,6441008212,Herby Healy,Herby Healy,961-210-2630,Sibling,false,true
42,Clemence,Gannon,Female,7/27/1981,802-43-9500,89621 Browning Parkway,Västerås,Västmanland,722 33,402-173-5933,cgannon15@feedburner.com,O-,69.55,238.9,493.880502211763927601,38.52,79,153,233,255,Pollen,Aspirin,Asthma,Cancer,8/5/2020,Blue Cross Blue Shield,7308562430,Clemence Gannon,Clemence Gannon,349-663-1550,Spouse,true,false
43,Hali,Desbrow,Female,7/27/2008,381-03-5243,43 Esker Center,Katsikás,,,533-317-6835,hdesbrow16@weibo.com,O+,77.53,412.33,685.970384239740169398,37.1,151,155,147,274,Food,Aspirin,Diabetes,Cancer,10/7/2020,Aetna,5920768431,Hali Desbrow,Hali Desbrow,737-414-6071,Parent,false,false
44,Geordie,Malone,Male,9/19/2011,504-07-2986,8860 Fordem Hill,Fartura,,18870-000,783-138-0260,gmalone17@economist.com,B-,54.77,327.33,1091.189877672924326534,41.48,136,195,185,218,Pet dander,Ibuprofen,Diabetes,Alzheimer's,8/18/2020,Aetna,2226012074,Geordie Malone,Geordie Malone,209-851-9984,Spouse,false,false
45,Ardene,Longhirst,Female,10/23/1988,674-04-6584,62661 Fairfield Hill,Mahekou,,,322-345-2189,alonghirst18@blog.com,O+,60.15,375.97,1039.158822257186073331,39.46,139,187,173,157,Pet dander,Paracetamol,Hypertension,Heart disease,2/6/2020,Blue Cross Blue Shield,4974030270,Ardene Longhirst,Ardene Longhirst,434-255-7834,Parent,true,false
46,Lewie,Berriball,Male,5/19/1978,529-56-9151,4 Hovde Hill,Wang Saphung,,42130,454-944-4724,lberriball19@discuz.net,O+,63.73,416.43,1025.307589199088841993,39.25,165,60,299,93,Food,Paracetamol,Asthma,Cancer,10/3/2021,Blue Cross Blue Shield,8851076989,Lewie Berriball,Lewie Berriball,234-315-1128,Sibling,true,true
47,Ignace,Farens,Male,2/11/2019,701-50-9611,73231 Scoville Avenue,Guanzhou,,,373-345-4522,ifarens1a@oaic.gov.au,AB+,75.38,232.83,409.757274031965819102,38.6,105,81,207,298,Pet dander,Ibuprofen,Diabetes,Heart disease,5/21/2021,Blue Cross Blue Shield,7005200690,Ignace Farens,Ignace Farens,284-360-0278,Spouse,false,true
48,Josiah,Houseley,Male,4/12/1952,103-80-0517,2833 Main Circle,Luba,,,907-197-2510,jhouseley1b@cornell.edu,B-,78.51,492.31,798.709229038011670717,36.17,117,82,255,195,Dust,Aspirin,Hypertension,Cancer,10/5/2021,Aetna,6136625728,Josiah Houseley,Josiah Houseley,103-154-1253,Sibling,true,true
49,Anatollo,Keesman,Male,7/3/2014,452-36-5100,736 Marquette Hill,Sośnie,,63-435,779-833-7779,akeesman1c@wix.com,AB+,83.81,116.07,165.244990754067974474,35.92,61,99,253,167,Food,Paracetamol,Asthma,Heart disease,1/19/2021,Cigna,9638134495,Anatollo Keesman,Anatollo Keesman,283-597-9134,Spouse,true,false
50,Timmie,Doumerque,Male,7/3/2013,611-88-0001,352 Sauthoff Point,Quchi,,,434-587-4646,tdoumerque1d@nifty.com,AB+,82.88,150.02,218.398512619072464632,37.89,166,124,150,157,Food,Ibuprofen,Hypertension,Alzheimer's,12/28/2020,Cigna,4885070312,Timmie Doumerque,Timmie Doumerque,416-397-5777,Sibling,true,false
51,Michale,Jammes,Male,3/31/1996,838-18-4496,03097 Loftsgordon Drive,Woha,,,323-504-9344,mjammes1e@simplemachines.org,O+,77.86,428.06,706.115668364559835872,41.18,84,95,288,257,Food,Ibuprofen,Asthma,Alzheimer's,2/26/2020,Aetna,9940755768,Michale Jammes,Michale Jammes,396-203-9082,Parent,true,false
52,Alfreda,Greeson,Female,10/17/1969,254-66-1342,7384 Saint Paul Avenue,Al Manāqil,,,282-339-8815,agreeson1f@wp.com,AB+,67.41,457.28,1006.314088346621859634,38.08,110,142,271,191,Food,Aspirin,Hypertension,Heart disease,12/19/2021,Aetna,1474621422,Alfreda Greeson,Alfreda Greeson,826-932-6720,Spouse,false,false
53,Wye,Brugsma,Male,6/5/1969,755-52-8722,67 Grover Lane,Lunéville,Lorraine,54304 CEDEX,383-192-1478,wbrugsma1g@harvard.edu,O-,60.68,395.76,1074.832409141137857957,35.11,68,79,106,160,Pet dander,Paracetamol,Asthma,Alzheimer's,12/20/2021,Blue Cross Blue Shield,2050393139,Wye Brugsma,Wye Brugsma,392-856-1773,Sibling,false,false
54,Gallagher,Sey,Male,8/4/2005,255-70-5593,976 Southridge Avenue,El Zapotal del Norte,,,632-495-4650,gsey1h@epa.gov,A+,64.42,168.27,405.476093561337470136,38.13,167,141,124,240,Pollen,Paracetamol,Asthma,Alzheimer's,3/22/2021,Blue Cross Blue Shield,6720026993,Gallagher Sey,Gallagher Sey,274-523-7073,Parent,true,false
55,Ketty,Busch,Female,1/19/2005,787-17-3780,44 Kennedy Crossing,Hor,,,909-581-6133,kbusch1i@virginia.edu,A+,57.81,90.57,271.005702250819502752,37.91,65,120,108,289,Food,Ibuprofen,Diabetes,Cancer,5/21/2021,Aetna,9012604128,Ketty Busch,Ketty Busch,402-474-1662,Spouse,true,true
56,Judy,Pietrowicz,Female,10/15/1999,849-42-6616,9324 Golf View Court,Nangabulik,,,987-551-9140,jpietrowicz1j@amazon.de,O-,50.44,144.62,568.431584766190749006,40.48,50,195,206,254,Pollen,Ibuprofen,Asthma,Alzheimer's,6/20/2020,Cigna,1628009701,Judy Pietrowicz,Judy Pietrowicz,532-828-3011,Spouse,false,true
57,Chrisse,Duigenan,Male,9/30/1993,316-23-9539,27 Kings Lane,Jiquinlaca,,,740-536-6371,cduigenan1k@japanpost.jp,O+,83.86,122.17,173.722014857988758364,40.69,82,111,155,231,Pollen,Ibuprofen,Asthma,Alzheimer's,6/21/2021,Cigna,3368045025,Chrisse Duigenan,Chrisse Duigenan,119-248-7296,Parent,true,false
58,Hubert,Kemball,Male,7/28/1983,301-38-4755,3908 Mcguire Pass,Jicun,,,861-648-1630,hkemball1l@phoca.cz,AB-,67.07,169.79,377.446580882840861394,38.18,185,92,112,289,Pet dander,Ibuprofen,Diabetes,Alzheimer's,1/18/2021,Blue Cross Blue Shield,3967267857,Hubert Kemball,Hubert Kemball,576-931-0474,Spouse,false,true
59,Hieronymus,Baly,Male,1/8/2018,708-43-7837,91900 Kropf Park,Maastricht,Provincie Limburg,6214,638-929-4969,hbaly1m@craigslist.org,O-,50.29,129.5,512.043075198646023673,39.33,42,147,135,260,Food,Ibuprofen,Asthma,Alzheimer's,1/7/2020,Aetna,2388797790,Hieronymus Baly,Hieronymus Baly,570-794-5825,Parent,false,true
60,Marquita,Guillain,Female,2/22/2010,612-10-9372,18546 Rieder Road,Giemdiem,,,400-573-5398,mguillain1n@prlog.org,O+,85.01,286.65,396.654068985095977623,36.63,95,131,112,264,Dust,Aspirin,Hypertension,Alzheimer's,2/9/2021,Blue Cross Blue Shield,6733519814,Marquita Guillain,Marquita Guillain,642-165-0399,Spouse,true,false
61,Eolanda,La Wille,Female,12/16/2004,168-72-6966,4376 Gale Point,Brasília,,70000-000,172-200-9546,ela1o@mail.ru,AB+,61.0,278.64,748.830959419510884171,36.44,101,192,244,277,Food,Aspirin,Diabetes,Cancer,7/8/2020,Aetna,5979748486,Eolanda La Wille,Eolanda La Wille,767-178-4198,Spouse,true,true
62,Gabriella,Tembey,Female,8/24/1953,492-32-6559,4567 1st Street,Huya,,,390-885-8333,gtembey1p@dedecms.com,AB-,84.05,476.77,674.890763939342357687,35.71,154,168,269,295,Food,Ibuprofen,Asthma,Alzheimer's,12/12/2021,Aetna,6802627075,Gabriella Tembey,Gabriella Tembey,572-282-3287,Sibling,true,false
63,Hermon,Beardsdale,Male,12/5/1958,256-40-7115,59 Talmadge Terrace,Umeå,Västerbotten,903 42,291-531-5006,hbeardsdale1q@arizona.edu,O-,86.47,220.32,294.661235138528830225,38.57,158,66,255,77,Pollen,Aspirin,Hypertension,Alzheimer's,9/22/2020,Aetna,9354989065,Hermon Beardsdale,Hermon Beardsdale,271-669-1335,Spouse,true,true
64,Shay,Andrus,Genderfluid,4/7/1986,135-11-7186,6 Arrowood Junction,Amphawa,,75110,636-234-4071,sandrus1r@umn.edu,O+,64.53,229.83,551.929219922505131875,38.46,137,190,208,241,Dust,Ibuprofen,Asthma,Alzheimer's,3/22/2021,Aetna,8435378271,Shay Andrus,Shay Andrus,616-517-3197,Sibling,true,true
65,Teressa,Paff,Female,2/26/1979,132-33-7534,15675 Sage Terrace,Cali,,760050,859-428-1586,tpaff1s@microsoft.com,B-,68.21,238.84,513.346923285391937818,36.63,196,140,246,182,Pet dander,Aspirin,Hypertension,Heart disease,8/8/2020,Aetna,4427197238,Teressa Paff,Teressa Paff,316-862-7708,Sibling,false,false
66,Jayme,Winsom,Male,10/17/2011,353-70-2678,58 Bartelt Avenue,Lidköping,Västra Götaland,531 85,659-554-7386,jwinsom1t@arstechnica.com,A+,80.36,491.03,760.375597020971581096,38.73,146,118,225,164,Food,Ibuprofen,Diabetes,Heart disease,5/12/2021,Aetna,6050261240,Jayme Winsom,Jayme Winsom,157-446-2136,Sibling,true,false
67,Ash,Hamblyn,Male,9/12/1964,693-67-2709,3 3rd Alley,Umuquena,,,761-576-7717,ahamblyn1u@netscape.com,B+,71.69,261.23,508.283357065740867015,40.4,101,176,190,204,Pollen,Aspirin,Asthma,Alzheimer's,9/15/2020,Cigna,7334628376,Ash Hamblyn,Ash Hamblyn,291-370-3693,Spouse,false,true
68,Ag,Knewstub,Female,12/23/1966,528-79-9683,1 Mayer Street,Nizhnyaya Tavda,,626020,719-934-2790,aknewstub1v@vimeo.com,AB-,62.4,232.2,596.338757396449704142,38.4,163,175,154,173,Dust,Ibuprofen,Diabetes,Cancer,7/3/2021,Aetna,1941956383,Ag Knewstub,Ag Knewstub,871-540-2234,Spouse,true,false
69,Lombard,Van Velde,Male,1/24/1981,368-89-6363,89 Banding Terrace,Palaióchora,,,369-975-6185,lvan1w@microsoft.com,B+,71.07,418.52,828.597437283467495359,36.07,135,121,210,246,Dust,Aspirin,Diabetes,Cancer,9/21/2021,Blue Cross Blue Shield,2995909536,Lombard Van Velde,Lombard Van Velde,497-370-7932,Parent,false,false
70,Ariadne,Kubelka,Female,5/27/2012,553-82-3692,07539 Shelley Point,Itupeva,,13295-000,921-555-7237,akubelka1x@chicagotribune.com,O+,73.07,341.06,638.78185764379395219,35.66,193,158,100,91,Pollen,Aspirin,Diabetes,Alzheimer's,2/19/2021,Blue Cross Blue Shield,8340376829,Ariadne Kubelka,Ariadne Kubelka,355-156-8934,Parent,false,true
71,Greta,Sprules,Female,4/10/1961,575-22-9066,87935 Monica Trail,Logroño,La Rioja,26070,122-594-3836,gsprules1y@thetimes.co.uk,A+,86.19,434.62,585.053990688915948747,35.18,130,101,142,158,Pollen,Ibuprofen,Hypertension,Cancer,1/6/2020,Aetna,5735855633,Greta Sprules,Greta Sprules,732-975-3220,Parent,true,false
72,Dewain,Choules,Male,12/29/1991,318-11-3106,2049 Graedel Point,Yakutsk,,677027,278-976-9472,dchoules1z@hud.gov,O+,69.03,314.33,659.644712709334576025,40.72,83,165,126,224,Pollen,Ibuprofen,Asthma,Cancer,8/28/2020,Blue Cross Blue Shield,2936110569,Dewain Choules,Dewain Choules,735-237-2087,Sibling,true,false
73,Garreth,Tomkin,Genderfluid,9/11/1985,318-76-1932,5617 Northridge Street,Rosaspata,,,308-778-5147,gtomkin20@gravatar.com,O+,72.54,79.08,150.283589009275393651,39.87,77,83,130,190,Food,Ibuprofen,Hypertension,Heart disease,6/15/2021,Aetna,2389712787,Garreth Tomkin,Garreth Tomkin,999-378-2578,Sibling,true,false
74,Nickola,Mort,Male,9/25/1978,310-32-0495,279 David Junction,Heihe,,,789-972-4457,nmort21@woothemes.com,A-,89.34,84.46,105.817910303998343397,35.42,131,101,293,179,Dust,Ibuprofen,Diabetes,Cancer,3/16/2021,Blue Cross Blue Shield,2821414832,Nickola Mort,Nickola Mort,968-855-8027,Spouse,false,true
75,Kattie,Hebborn,Female,4/28/2011,776-20-4035,7 Marquette Lane,Sibulan,,6201,531-946-8766,khebborn22@wix.com,AB+,62.17,168.81,436.753541407332662736,39.95,92,176,212,228,Food,Ibuprofen,Diabetes,Heart disease,5/4/2021,Aetna,1166520822,Kattie Hebborn,Kattie Hebborn,553-842-6595,Sibling,false,true
